status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,payload_size,num_gates,execution_type,experiment_type,ibm_job_id,ibm_backend,counts,success_rate,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,4005,5,4011,"[[""u"", 834], [""x"", 796], [""y"", 782], [""s"", 405], [""sdg"", 405], [""t"", 389], [""tdg"", 389], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,2000,ibm,dynamic_payload_gates,cyv1bj6jj6dg008g4bvg,ibm_kyiv,"{""0"": 2065, ""1"": 2031}",0.504150390625,3.0,3.0,completed,0.504150390625,2025-02-19T17:32:56.350Z,2025-02-19T17:33:11.677Z,2025-02-19T17:32:59.132Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:33:00', stop='2025-02-19 17:33:11', size=4096>)])",11.03119
completed,4007,5,4013,"[[""u"", 818], [""y"", 802], [""x"", 794], [""s"", 408], [""sdg"", 408], [""t"", 386], [""tdg"", 386], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,2001,ibm,dynamic_payload_gates,cyv1bvfq5bwg0083p1hg,ibm_kyiv,"{""0"": 2037, ""1"": 2059}",0.497314453125,3.0,3.0,completed,0.497314453125,2025-02-19T17:33:33.682Z,2025-02-19T17:34:14.597Z,2025-02-19T17:33:36.474Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:33:37', stop='2025-02-19 17:34:13', size=4096>)])",36.558098
completed,4009,5,4015,"[[""y"", 818], [""x"", 808], [""u"", 782], [""t"", 417], [""tdg"", 417], [""s"", 381], [""sdg"", 381], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,2002,ibm,dynamic_payload_gates,cyv1cah78z600082q590,ibm_kyiv,"{""1"": 2024, ""0"": 2072}",0.505859375,3.0,3.0,completed,0.505859375,2025-02-19T17:34:34.359Z,2025-02-19T17:34:49.241Z,2025-02-19T17:34:36.986Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:34:37', stop='2025-02-19 17:34:48', size=4096>)])",10.740474
completed,4011,5,4017,"[[""y"", 838], [""x"", 788], [""u"", 748], [""s"", 408], [""t"", 408], [""sdg"", 408], [""tdg"", 408], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,2003,ibm,dynamic_payload_gates,cyv1ckjjj6dg008g4bzg,ibm_kyiv,"{""1"": 2117, ""0"": 1979}",0.483154296875,3.0,3.0,completed,0.483154296875,2025-02-19T17:35:10.383Z,2025-02-19T17:35:27.220Z,2025-02-19T17:35:13.724Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:35:14', stop='2025-02-19 17:35:26', size=4096>)])",11.929521
completed,4013,5,4019,"[[""u"", 822], [""x"", 798], [""y"", 780], [""t"", 405], [""tdg"", 405], [""s"", 399], [""sdg"", 399], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,2004,ibm,dynamic_payload_gates,cyv1cw34raf0008ejwm0,ibm_kyiv,"{""1"": 2131, ""0"": 1965}",0.479736328125,3.0,3.0,completed,0.479736328125,2025-02-19T17:35:44.725Z,2025-02-19T17:35:59.616Z,2025-02-19T17:35:47.307Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:35:48', stop='2025-02-19 17:35:58', size=4096>)])",10.866525
completed,4015,5,4021,"[[""y"", 822], [""u"", 804], [""x"", 786], [""s"", 415], [""sdg"", 415], [""t"", 384], [""tdg"", 384], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,2005,ibm,dynamic_payload_gates,cyv1d5438jq0008xy050,ibm_kyiv,"{""0"": 2017, ""1"": 2079}",0.492431640625,3.0,3.0,completed,0.492431640625,2025-02-19T17:36:20.332Z,2025-02-19T17:36:34.934Z,2025-02-19T17:36:23.123Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:36:24', stop='2025-02-19 17:36:34', size=4096>)])",10.036051
completed,2007,7,4016,"[[""u"", 822], [""x"", 820], [""y"", 800], [""t"", 398], [""tdg"", 398], [""s"", 381], [""sdg"", 381], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,2000,ibm,dynamic_payload_gates,cyv1ddxq5bwg0083p1mg,ibm_kyiv,"{""11"": 980, ""10"": 1046, ""01"": 973, ""00"": 1097}",0.267822265625,3.0,3.0,completed,0.267822265625,2025-02-19T17:36:55.550Z,2025-02-19T17:37:09.789Z,2025-02-19T17:36:58.253Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:36:59', stop='2025-02-19 17:37:09', size=4096>)])",9.888037
completed,2007,7,4018,"[[""u"", 828], [""y"", 820], [""x"", 786], [""t"", 406], [""tdg"", 406], [""s"", 378], [""sdg"", 378], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,2001,ibm,dynamic_payload_gates,cyv1dq6y2gd0008867jg,ibm_kyiv,"{""00"": 990, ""01"": 964, ""11"": 961, ""10"": 1181}",0.24169921875,3.0,3.0,completed,0.24169921875,2025-02-19T17:37:32.594Z,2025-02-19T17:37:47.910Z,2025-02-19T17:37:35.402Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:37:36', stop='2025-02-19 17:37:47', size=4096>)])",11.041631
completed,2009,7,4020,"[[""y"", 886], [""u"", 818], [""x"", 800], [""t"", 377], [""tdg"", 377], [""s"", 373], [""sdg"", 373], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,2002,ibm,dynamic_payload_gates,cyv1e0r78z600082q5ag,ibm_kyiv,"{""00"": 1502, ""11"": 746, ""01"": 1098, ""10"": 750}",0.36669921875,3.0,3.0,completed,0.36669921875,2025-02-19T17:38:11.246Z,2025-02-19T17:38:25.562Z,2025-02-19T17:38:14.195Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:38:15', stop='2025-02-19 17:38:24', size=4096>)])",9.777829
completed,2009,7,4022,"[[""u"", 820], [""y"", 804], [""x"", 766], [""s"", 417], [""sdg"", 417], [""t"", 391], [""tdg"", 391], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,2003,ibm,dynamic_payload_gates,cyv1e9hy2gd0008867kg,ibm_kyiv,"{""00"": 1105, ""10"": 1163, ""01"": 892, ""11"": 936}",0.269775390625,3.0,3.0,completed,0.269775390625,2025-02-19T17:38:46.929Z,2025-02-19T17:39:02.872Z,2025-02-19T17:38:49.758Z,"ExecutionSpans([SliceSpan(<start='2025-02-19 17:38:50', stop='2025-02-19 17:39:02', size=4096>)])",11.415187
