status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,iteration
completed,11,5,17,"{""h"": 8, ""cx"": 5, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2830, ""1"": 1266}",0.69091796875,d09septnhqag008pecgg,ibm_sherbrooke,1
completed,11,5,17,"{""h"": 8, ""cx"": 5, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1397, ""0"": 2699}",0.658935546875,d09sf0m6rr3g008765t0,ibm_sherbrooke,2
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1821, ""0"": 2275}",0.555419921875,d09sf9nkzhn0008v7w90,ibm_sherbrooke,3
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""y"": 2, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2449, ""1"": 1647}",0.597900390625,d09sftfnhqag008ped10,ibm_sherbrooke,4
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2533, ""1"": 1563}",0.618408203125,d09sg2gd8drg008ymqwg,ibm_sherbrooke,5
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2299, ""1"": 1797}",0.561279296875,d09sg9skzhn0008v7wpg,ibm_sherbrooke,6
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""z"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2521, ""1"": 1575}",0.615478515625,d09sgjtnhqag008peddg,ibm_sherbrooke,7
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1322, ""0"": 2774}",0.67724609375,d09sgrbqnmvg008709f0,ibm_sherbrooke,8
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2455, ""1"": 1641}",0.599365234375,d09sgybnhqag008pedjg,ibm_sherbrooke,9
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2396, ""1"": 1700}",0.5849609375,d09sh4mkzhn0008v7x60,ibm_sherbrooke,10
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""y"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2452, ""1"": 1644}",0.5986328125,d09shanqnmvg008709m0,ibm_sherbrooke,11
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""z"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2336, ""1"": 1760}",0.5703125,d09shkeqnmvg008709rg,ibm_sherbrooke,12
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""s"": 3, ""sdg"": 3, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2353, ""1"": 1743}",0.574462890625,d09sj30qnmvg00870a1g,ibm_sherbrooke,13
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""z"": 2, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1599, ""0"": 2497}",0.609619140625,d09sjc9rxz8g008a4250,ibm_sherbrooke,14
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1630, ""0"": 2466}",0.60205078125,d09skh66rr3g0087687g,ibm_sherbrooke,15
completed,11,5,17,"{""h"": 8, ""cx"": 5, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2508, ""1"": 1588}",0.6123046875,d09skrzrxz8g008a42k0,ibm_sherbrooke,16
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""sdg"": 2, ""x"": 2, ""s"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2864, ""1"": 1232}",0.69921875,d09sm00kzhn0008v7y80,ibm_sherbrooke,17
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""x"": 2, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1668, ""0"": 2428}",0.5927734375,d09sm70kzhn0008v7ycg,ibm_sherbrooke,18
completed,11,5,17,"{""cx"": 5, ""h"": 4, ""s"": 2, ""z"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""0"": 2638, ""1"": 1458}",0.64404296875,d09smdhkzhn0008v7yf0,ibm_sherbrooke,19
completed,11,5,17,"{""h"": 6, ""cx"": 5, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,ibm,fixed_payload_experiments,"{""1"": 1674, ""0"": 2422}",0.59130859375,d09smmad8drg008ymst0,ibm_sherbrooke,20
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""sdg"": 4, ""s"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 722, ""11"": 946, ""10"": 1566, ""00"": 862}",0.21044921875,d09smybqnmvg00870b8g,ibm_sherbrooke,1
