status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,payload_size,num_gates,execution_type,experiment_type,ibm_job_id,ibm_backend,counts,success_rate,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,405,5,411,"[[""x"", 92], [""y"", 84], [""u"", 64], [""s"", 43], [""sdg"", 43], [""t"", 37], [""tdg"", 37], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,200,ibm,dynamic_payload_gates,cytd4gj4raf0008efamg,ibm_brisbane,"{""0"": 1847, ""1"": 2249}",0.450927734375,2.0,2.0,completed,0.450927734375,2025-02-18T18:32:34.271Z,2025-02-18T18:32:41.073Z,2025-02-18T18:32:37.025Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:32:38', stop='2025-02-18 18:32:40', size=4096>)])",1.8713039999999999
completed,407,5,413,"[[""x"", 88], [""u"", 82], [""y"", 60], [""s"", 43], [""t"", 43], [""tdg"", 43], [""sdg"", 43], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,201,ibm,dynamic_payload_gates,cytd4rb4raf0008efapg,ibm_brisbane,"{""1"": 1092, ""0"": 3004}",0.7333984375,2.0,2.0,completed,0.7333984375,2025-02-18T18:33:05.180Z,2025-02-18T18:33:12.085Z,2025-02-18T18:33:08.115Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:33:09', stop='2025-02-18 18:33:11', size=4096>)])",1.8281830000000001
completed,409,5,415,"[[""u"", 82], [""x"", 80], [""y"", 78], [""t"", 45], [""tdg"", 45], [""s"", 37], [""sdg"", 37], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,202,ibm,dynamic_payload_gates,cytd504q5bwg0083jjeg,ibm_brisbane,"{""0"": 1910, ""1"": 2186}",0.46630859375,2.0,2.0,completed,0.46630859375,2025-02-18T18:33:36.596Z,2025-02-18T18:33:43.202Z,2025-02-18T18:33:39.365Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:33:40', stop='2025-02-18 18:33:42', size=4096>)])",1.843934
completed,411,5,417,"[[""u"", 84], [""y"", 82], [""x"", 58], [""s"", 54], [""sdg"", 54], [""t"", 37], [""tdg"", 37], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,203,ibm,dynamic_payload_gates,cytd56mq5bwg0083jjf0,ibm_brisbane,"{""1"": 1144, ""0"": 2952}",0.720703125,2.0,2.0,completed,0.720703125,2025-02-18T18:34:02.593Z,2025-02-18T18:34:09.537Z,2025-02-18T18:34:05.298Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:34:06', stop='2025-02-18 18:34:08', size=4096>)])",1.8332519999999999
completed,413,5,419,"[[""u"", 96], [""x"", 72], [""y"", 70], [""s"", 49], [""sdg"", 49], [""t"", 36], [""tdg"", 36], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,204,ibm,dynamic_payload_gates,cytd5ed78z600082knrg,ibm_brisbane,"{""0"": 1951, ""1"": 2145}",0.476318359375,2.0,2.0,completed,0.476318359375,2025-02-18T18:34:33.888Z,2025-02-18T18:34:40.664Z,2025-02-18T18:34:36.423Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:34:37', stop='2025-02-18 18:34:39', size=4096>)])",1.8617
completed,415,5,421,"[[""y"", 92], [""u"", 80], [""x"", 78], [""t"", 44], [""tdg"", 44], [""s"", 36], [""sdg"", 36], [""cx"", 5], [""h"", 4], [""cz"", 1], [""measure"", 1]]",1,205,ibm,dynamic_payload_gates,cytd5pe78z600082knv0,ibm_brisbane,"{""1"": 1234, ""0"": 2862}",0.69873046875,2.0,2.0,completed,0.69873046875,2025-02-18T18:35:05.243Z,2025-02-18T18:35:11.617Z,2025-02-18T18:35:07.689Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:35:08', stop='2025-02-18 18:35:10', size=4096>)])",1.8938160000000002
completed,207,7,416,"[[""u"", 84], [""x"", 66], [""y"", 66], [""s"", 52], [""sdg"", 52], [""t"", 40], [""tdg"", 40], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,200,ibm,dynamic_payload_gates,cytd5xqy2gd000882qx0,ibm_brisbane,"{""11"": 1518, ""10"": 607, ""00"": 1474, ""01"": 497}",0.35986328125,2.0,2.0,completed,0.35986328125,2025-02-18T18:35:34.676Z,2025-02-18T18:35:41.978Z,2025-02-18T18:35:37.934Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:35:39', stop='2025-02-18 18:35:41', size=4096>)])",1.916379
completed,207,7,418,"[[""y"", 94], [""x"", 80], [""u"", 62], [""s"", 43], [""sdg"", 43], [""t"", 40], [""tdg"", 40], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,201,ibm,dynamic_payload_gates,cytd65g4raf0008efav0,ibm_brisbane,"{""11"": 1414, ""10"": 572, ""00"": 1526, ""01"": 584}",0.37255859375,2.0,2.0,completed,0.37255859375,2025-02-18T18:36:06.402Z,2025-02-18T18:36:13.066Z,2025-02-18T18:36:09.148Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:36:10', stop='2025-02-18 18:36:12', size=4096>)])",1.86947
completed,209,7,420,"[[""y"", 84], [""x"", 76], [""u"", 66], [""s"", 54], [""sdg"", 54], [""t"", 35], [""tdg"", 35], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,202,ibm,dynamic_payload_gates,cytd6dhq5bwg0083jjmg,ibm_brisbane,"{""10"": 649, ""00"": 2141, ""11"": 590, ""01"": 716}",0.522705078125,2.0,2.0,completed,0.522705078125,2025-02-18T18:36:38.641Z,2025-02-18T18:36:45.372Z,2025-02-18T18:36:41.426Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:36:42', stop='2025-02-18 18:36:44', size=4096>)])",1.867225
completed,209,7,422,"[[""u"", 82], [""y"", 72], [""x"", 56], [""t"", 51], [""tdg"", 51], [""s"", 47], [""sdg"", 47], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,203,ibm,dynamic_payload_gates,cytd6m24raf0008efax0,ibm_brisbane,"{""10"": 633, ""11"": 1266, ""00"": 1539, ""01"": 658}",0.375732421875,2.0,2.0,completed,0.375732421875,2025-02-18T18:37:05.012Z,2025-02-18T18:37:16.461Z,2025-02-18T18:37:07.698Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:37:13', stop='2025-02-18 18:37:15', size=4096>)])",1.887615
completed,211,7,424,"[[""x"", 82], [""y"", 80], [""u"", 64], [""t"", 52], [""tdg"", 52], [""s"", 39], [""sdg"", 39], [""cx"", 7], [""h"", 6], [""measure"", 2], [""cz"", 1]]",2,204,ibm,dynamic_payload_gates,cytd6w378z600082knx0,ibm_brisbane,"{""10"": 573, ""01"": 629, ""11"": 1566, ""00"": 1328}",0.32421875,2.0,2.0,completed,0.32421875,2025-02-18T18:37:36.710Z,2025-02-18T18:37:43.339Z,2025-02-18T18:37:39.312Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:37:40', stop='2025-02-18 18:37:42', size=4096>)])",1.861932
